Attrition,Business Travel,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Work Life Balance,Age,Attrition %,Daily Rate,Distance From Home,dummy,Education,Employee Count,Environment Satisfaction,female#,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,male#,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,Sales,Life Sciences,1,Female,Sales Executive,Single,Yes,Y,0,Bad,41,100.00%,1102,1,0,2,1,2,1,94,3,2,4,0,5993,19479,8,11,3,1,80,0,8,6,4,0,5
No,Travel_Frequently,Research & Development,Life Sciences,2,Male,Research Scientist,Married,No,Y,3,Good,49,0.00%,279,8,0,1,1,3,0,61,2,2,2,1,5130,24907,1,23,4,4,80,1,10,10,7,1,7
Yes,Travel_Rarely,Research & Development,Other,4,Male,Laboratory Technician,Single,Yes,Y,3,Good,37,100.00%,1373,2,0,2,1,4,0,92,2,1,3,1,2090,2396,6,15,3,2,80,0,7,0,0,0,0
No,Travel_Frequently,Research & Development,Life Sciences,5,Female,Research Scientist,Married,Yes,Y,3,Good,33,0.00%,1392,3,0,4,1,4,1,56,3,1,3,0,2909,23159,1,11,3,3,80,0,8,8,7,3,0
No,Travel_Rarely,Research & Development,Medical,7,Male,Laboratory Technician,Married,No,Y,3,Good,27,0.00%,591,2,0,1,1,1,0,40,3,1,2,1,3468,16632,9,12,3,4,80,1,6,2,2,2,2
No,Travel_Frequently,Research & Development,Life Sciences,8,Male,Laboratory Technician,Single,No,Y,2,Avg,32,0.00%,1005,2,0,2,1,4,0,79,3,1,4,1,3068,11864,0,13,3,3,80,0,8,7,7,3,6
No,Travel_Rarely,Research & Development,Medical,10,Female,Laboratory Technician,Married,Yes,Y,3,Avg,59,0.00%,1324,3,0,3,1,3,1,81,4,1,1,0,2670,9964,4,20,4,1,80,3,12,1,0,0,0
No,Travel_Rarely,Research & Development,Life Sciences,11,Male,Laboratory Technician,Divorced,No,Y,2,Good,30,0.00%,1358,24,0,1,1,4,0,67,3,1,3,1,2693,13335,1,22,4,2,80,1,1,1,0,0,0
No,Travel_Frequently,Research & Development,Life Sciences,12,Male,Manufacturing Director,Single,No,Y,2,Good,38,0.00%,216,23,0,3,1,4,0,44,2,3,3,1,9526,8787,0,21,4,2,80,0,10,9,7,1,8
No,Travel_Rarely,Research & Development,Medical,13,Male,Healthcare Representative,Married,No,Y,3,Avg,36,0.00%,1299,27,0,3,1,3,0,94,3,2,3,1,5237,16577,6,13,3,2,80,2,17,7,7,7,7
No,Travel_Rarely,Research & Development,Medical,14,Male,Laboratory Technician,Married,No,Y,5,Good,35,0.00%,809,16,0,3,1,1,0,84,4,1,2,1,2426,16479,0,13,3,3,80,1,6,5,4,0,3
No,Travel_Rarely,Research & Development,Life Sciences,15,Female,Laboratory Technician,Single,Yes,Y,3,Good,29,0.00%,153,15,0,2,1,4,1,49,2,2,3,0,4193,12682,0,12,3,4,80,0,10,9,5,0,8
No,Travel_Rarely,Research & Development,Life Sciences,16,Male,Research Scientist,Divorced,No,Y,1,Avg,31,0.00%,670,26,0,1,1,1,0,31,3,1,3,1,2911,15170,1,17,3,4,80,1,5,5,2,4,3
